game,turns,duration,winner,all_eliminated,solution,eliminated_count
1,53,0.04498767852783203,Miss Scarlet,False,Professor Plum Wrench Dining Room,0
2,100,0.09196329116821289,None,False,Mrs Peacock Wrench Library,0
3,100,0.08996081352233887,None,False,Mrs. White Candlestick Hall,0
4,100,0.10393953323364258,None,False,Reverend Green Revolver Library,0
5,100,0.08793234825134277,None,False,Professor Plum Knife Billiard Room,0
6,53,0.055965423583984375,Mrs. White,False,Mrs Peacock Candlestick Billiard Room,0
7,100,0.13698458671569824,None,False,Mrs. White Revolver Conservatory,0
8,100,0.1279616355895996,None,False,Miss Scarlet Revolver Dining Room,0
9,100,0.04997110366821289,None,False,Miss Scarlet Lead Pipe Lounge,0
10,100,0.09095954895019531,None,False,Professor Plum Rope Library,0
